age,name,party,SIDO_SGG,member_id,gender,image_url
21,조수진,국민의힘,비례대표,YLS4431M,여,https://www.assembly.go.kr/static/portal/img/openassm/YLS4431M.jpg
21,조승래,더불어민주당,대전 유성갑,FYI20317,남,https://www.assembly.go.kr/static/portal/img/openassm/new/9e7bee59f70f453e9fad4939bd7f72c2.jpg
21,조오섭,더불어민주당,광주 북구갑,25I8709Q,남,https://www.assembly.go.kr/static/portal/img/openassm/25I8709Q.jpg
21,조은희,국민의힘,서울 서초갑,MQU41854,여,https://www.assembly.go.kr/static/portal/img/openassm/new/67f9e0c2b48249b3b008743913f7ca25.jpg
21,조응천,개혁신당,경기 남양주갑,CDL93608,남,https://www.assembly.go.kr/static/portal/img/openassm/CDL93608.jpg
21,조정식,더불어민주당,경기 시흥을,IN328264,남,https://www.assembly.go.kr/static/portal/img/openassm/new/340424a491b7497cbfee7a446cdcbaa3.jpg
21,조정훈,시대전환,비례대표,WJL30106,남,https://www.assembly.go.kr/static/portal/img/openassm/new/adbf0bf5375e47fba83d7834d3e70a0d.jpg
21,조해진,국민의힘,경남 밀양의령함안창녕,Z6R3959C,남,https://www.assembly.go.kr/static/portal/img/openassm/Z6R3959C.jpg
21,주철현,더불어민주당,전남 여수갑,T465023H,남,https://www.assembly.go.kr/static/portal/img/openassm/new/7a6b0d6426f6474e9e2ec55ff6f18045.jpg
21,주호영,미래통합당,대구 수성갑,8SV6917G,남,https://www.assembly.go.kr/static/portal/img/openassm/new/18605df0f43547089061fa7f6a63f311.jpg
21,지성호,국민의힘,비례대표,Y7K5946R,남,https://www.assembly.go.kr/static/portal/img/openassm/Y7K5946R.jpg
21,진선미,더불어민주당,서울 강동갑,68P7228G,여,https://www.assembly.go.kr/static/portal/img/openassm/new/00320d16bed34a619ba08350b4e0de40.jpg
21,진성준,더불어민주당,서울 강서을,3C23171A,남,https://www.assembly.go.kr/static/portal/img/openassm/new/6b3400f4040e4d6bb354d1f758717055.jpg
21,천준호,더불어민주당,서울 강북갑,A494529E,남,https://www.assembly.go.kr/static/portal/img/openassm/new/1ecd18672c604ef5a6c90dd06133006e.jpg
21,최강욱,더불어민주당,비례대표,ICH23251,남,https://www.assembly.go.kr/static/portal/img/openassm/ICH23251.jpg
21,최기상,더불어민주당,서울 금천,I5I2468R,남,https://www.assembly.go.kr/static/portal/img/openassm/new/d1a177cb53a84663853ccaba458d0fcd.PNG
21,최승재,국민의힘,비례대표,M7T9712V,남,https://www.assembly.go.kr/static/portal/img/openassm/M7T9712V.jpg
21,최연숙,국민의힘,비례대표,8VJ8533R,여,https://www.assembly.go.kr/static/portal/img/openassm/8VJ8533R.jpg
21,최영희,국민의힘,비례대표,YTA7297R,여,https://www.assembly.go.kr/static/portal/img/openassm/YTA7297R.jpg
21,최인호,더불어민주당,부산 사하갑,LPB30152,남,https://www.assembly.go.kr/static/portal/img/openassm/LPB30152.jpg
21,최재형,국민의힘,서울 종로,6RM29022,남,https://www.assembly.go.kr/static/portal/img/openassm/6RM29022.jpg
21,최종윤,더불어민주당,경기 하남,Z7Y7827F,남,https://www.assembly.go.kr/static/portal/img/openassm/Z7Y7827F.jpg
21,최춘식,국민의힘,경기 포천가평,3DK8989T,남,https://www.assembly.go.kr/static/portal/img/openassm/3DK8989T.jpg
21,최형두,미래통합당,경남 창원마산합포,A0P4646G,남,https://www.assembly.go.kr/static/portal/img/openassm/new/fbac5267e24343b98623752d6c854616.jpg
21,최혜영,더불어민주당,비례대표,QD25323M,여,https://www.assembly.go.kr/static/portal/img/openassm/QD25323M.jpg
21,추경호,미래통합당,대구 달성군,G152611B,남,https://www.assembly.go.kr/static/portal/img/openassm/new/c7d6cfa2eaa14041bb6408aba44ae0ab.png
21,태영호,국민의힘,서울 강남갑,XJC13432,남,https://www.assembly.go.kr/static/portal/img/openassm/XJC13432.jpg
21,하영제,무소속,경남 사천시남해군하동군,FGI27280,남,https://www.assembly.go.kr/static/portal/img/openassm/FGI27280.jpg
21,하태경,국민의힘,부산 해운대갑,I0S53762,남,https://www.assembly.go.kr/static/portal/img/openassm/I0S53762.jpg
21,한기호,미래통합당,강원 춘천철원화천양구을,JQA21112,남,https://www.assembly.go.kr/static/portal/img/openassm/new/9bb2d649d55a495d99c6750cc124e5bf.png
21,한무경,국민의힘,비례대표,UB114374,여,https://www.assembly.go.kr/static/portal/img/openassm/UB114374.jpg
21,한병도,더불어민주당,전북 익산을,H5476989,남,https://www.assembly.go.kr/static/portal/img/openassm/new/a7695c6d5955474aa1962ffcaabcf804.jpg
21,한정애,더불어민주당,서울 강서병,XPP2564T,여,https://www.assembly.go.kr/static/portal/img/openassm/new/7b04f535d62d401da2af886555ee4e4f.jpg
21,한준호,더불어민주당,경기 고양을,BCQ55105,남,https://www.assembly.go.kr/static/portal/img/openassm/new/b5057465eeae44a38be3efb878ac21aa.jpg
21,허영,더불어민주당,강원 춘천철원화천양구갑,FU53642G,남,https://www.assembly.go.kr/static/portal/img/openassm/new/52e5baf2188242e8b7688e9ca3748bab.png
21,허은아,국민의힘,비례대표,66W6739S,여,https://www.assembly.go.kr/static/portal/img/openassm/66W6739S.jpg
21,허종식,더불어민주당,인천 동구미추홀구갑,VCP96419,남,https://www.assembly.go.kr/static/portal/img/openassm/new/339cde11231c491fa74e47d685b0dbc4.jpg
21,홍기원,더불어민주당,경기 평택갑,5MD4184K,남,https://www.assembly.go.kr/static/portal/img/openassm/new/5bc90241361f4d89b8c647297d88f394.jpg
21,홍문표,국민의힘,충남 홍성군예산군,GD131760,남,https://www.assembly.go.kr/static/portal/img/openassm/GD131760.jpg
21,홍석준,국민의힘,대구 달서갑,EMC8812P,남,https://www.assembly.go.kr/static/portal/img/openassm/EMC8812P.jpg
21,홍성국,더불어민주당,세종 세종갑,2N793392,남,https://www.assembly.go.kr/static/portal/img/openassm/2N793392.jpg
21,홍영표,새로운미래,인천 부평을,KR14136C,남,https://www.assembly.go.kr/static/portal/img/openassm/KR14136C.jpg
21,홍익표,더불어민주당,서울 중구성동갑,FRN1867O,남,https://www.assembly.go.kr/static/portal/img/openassm/FRN1867O.jpg
21,홍정민,더불어민주당,경기 고양병,XA42275R,여,https://www.assembly.go.kr/static/portal/img/openassm/XA42275R.jpg
21,황보승희,자유통일당,부산 중구영도,J9S37905,여,https://www.assembly.go.kr/static/portal/img/openassm/J9S37905.jpg
21,황운하,더불어민주당,대전 중구,0YT3774N,남,https://www.assembly.go.kr/static/portal/img/openassm/new/06c8428e6785477abb1f105fa11685b4.jpg
21,황희,더불어민주당,서울 양천갑,0VU8517U,남,https://www.assembly.go.kr/static/portal/img/openassm/new/99e78cb9dfd447fb8ef4bb0dfb51b79c.jpg
21,곽상도,무소속,대구 중구남구,MHK9919B,남,https://www.assembly.go.kr/static/portal/img/openassm/MHK9919B.jpg
21,김선교,미래통합당,경기 여주양평,JNL7001A,남,https://www.assembly.go.kr/static/portal/img/openassm/new/c46ff6eaebc3441393b42d4e36d7a8c6.jpg
21,김은혜,미래통합당,경기 성남분당갑,L5P27909,여,https://www.assembly.go.kr/static/portal/img/openassm/new/2d0fedee640c4683b571177b2f21e1c2.jpg
21,김진애,열린민주당,비례대표,LNR7932L,여,https://www.assembly.go.kr/static/portal/img/openassm/LNR7932L.jpg
21,김태흠,국민의힘,충남 보령서천,TVF3669B,남,https://www.assembly.go.kr/static/portal/img/openassm/TVF3669B.jpg
21,박완수,국민의힘,경남 창원의창,D0C85236,남,https://www.assembly.go.kr/static/portal/img/openassm/D0C85236.jpg
21,송영길,더불어민주당,인천 계양을,PAO22428,남,https://www.assembly.go.kr/static/portal/img/openassm/PAO22428.jpg
21,오영훈,더불어민주당,제주 제주을,21N57758,남,https://www.assembly.go.kr/static/portal/img/openassm/21N57758.jpg
21,윤희숙,국민의힘,서울 서초갑,IUL4848V,여,https://www.assembly.go.kr/static/portal/img/openassm/IUL4848V.jpg
21,이광재,더불어민주당,강원 원주갑,4A067125,남,https://www.assembly.go.kr/static/portal/img/openassm/4A067125.jpg
21,이규민,더불어민주당,경기 안성,AE685067,남,https://www.assembly.go.kr/static/portal/img/openassm/AE685067.jpg
21,이낙연,더불어민주당,서울 종로,0767470D,남,https://www.assembly.go.kr/static/portal/img/openassm/0767470D.jpg
21,이상직,무소속,전북 전주을,CFE3998F,남,https://www.assembly.go.kr/static/portal/img/openassm/CFE3998F.jpg
21,이영,국민의힘,비례대표,1X376850,여,https://www.assembly.go.kr/static/portal/img/openassm/1X376850.jpg
21,정정순,더불어민주당,충북 청주상당,TP066860,남,https://www.assembly.go.kr/static/portal/img/openassm/TP066860.jpg
21,조태용,국민의힘,비례대표,I434361W,남,https://www.assembly.go.kr/static/portal/img/openassm/I434361W.jpg
21,홍준표,국민의힘,대구 수성을,NAL4555X,남,https://www.assembly.go.kr/static/portal/img/openassm/NAL4555X.jpg
21,김근태,국민의힘,비례대표,C835799S,남,https://www.assembly.go.kr/static/portal/img/openassm/C835799S.jpg
21,김은희,국민의힘,비례대표,MSO2590I,여,https://www.assembly.go.kr/static/portal/img/openassm/MSO2590I.jpg
21,양경규,정의당,비례대표,DV77269P,남,https://www.assembly.go.kr/static/portal/img/openassm/DV77269P.jpg
21,우신구,국민의힘,비례대표,F0I5053J,남,https://www.assembly.go.kr/static/portal/img/openassm/F0I5053J.jpg
21,이자스민,정의당,비례대표,SZ51175J,여,https://www.assembly.go.kr/static/portal/img/openassm/SZ51175J.jpg
21,허숙정,더불어민주당,비례대표,NCO99988,여,https://www.assembly.go.kr/static/portal/img/openassm/NCO99988.jpg
22,남인순,더불어민주당,서울 송파병,04T3751T,여,https://www.assembly.go.kr/static/portal/img/openassm/new/b265059dddd24f329d9361e3d0f62e4e.jpg
22,이해민,조국혁신당,비례대표,0698755I,여,https://www.assembly.go.kr/static/portal/img/openassm/new/daea8ffe45ce4baca4b3ddabd5967322.png
22,이수진,더불어민주당,경기 성남중원,0R68099X,여,https://www.assembly.go.kr/static/portal/img/openassm/new/813a596915cc475d89c50722ce5764bc.jpg
22,황희,더불어민주당,서울 양천갑,0VU8517U,남,https://www.assembly.go.kr/static/portal/img/openassm/new/99e78cb9dfd447fb8ef4bb0dfb51b79c.jpg
22,황운하,조국혁신당,비례대표,0YT3774N,남,https://www.assembly.go.kr/static/portal/img/openassm/new/06c8428e6785477abb1f105fa11685b4.jpg
22,박은정,조국혁신당,비례대표,1A82234K,여,https://www.assembly.go.kr/static/portal/img/openassm/new/b033dfb3a2f44e27a4906549e989ae47.jpg
22,박용갑,더불어민주당,대전 중구,1JI2689F,남,https://www.assembly.go.kr/static/portal/img/openassm/new/61ae3968052447c2b150bca49ff6aa7f.jpg
22,채현일,더불어민주당,서울 영등포갑,1S05899F,남,https://www.assembly.go.kr/static/portal/img/openassm/new/8882bbc77730433ab09ebfec08f32bb8.jpg
22,김소희,국민의힘,비례대표,1SR94244,여,https://www.assembly.go.kr/static/portal/img/openassm/new/83b1ec78867e41e39d20d41d3a796f83.png
22,김태년,더불어민주당,경기 성남수정,1WE5693J,남,https://www.assembly.go.kr/static/portal/img/openassm/new/f8d696606fc742ec87659bd32ff95ae6.jpg
22,김상훈,국민의힘,대구 서구,1Y73132H,남,https://www.assembly.go.kr/static/portal/img/openassm/new/3c232b2892bb448f8d66df3661218621.jpg
