age,member_id,bill_number,result,date
20,OTE19384,2019383,불참,2019-03-28
20,ZGA4092Y,2019383,찬성,2019-03-28
20,EUR98126,2019383,찬성,2019-03-28
20,H337332S,2019383,찬성,2019-03-28
20,EX94352K,2019383,찬성,2019-03-28
20,0AI7568W,2019383,찬성,2019-03-28
20,3NM5411H,2019383,찬성,2019-03-28
20,8X46899U,2019383,기권,2019-03-28
20,QZF33498,2019383,불참,2019-03-28
20,ZBX31520,2019383,찬성,2019-03-28
20,ZL32287Z,2019383,찬성,2019-03-28
20,QXD2505Y,2019383,찬성,2019-03-28
20,8WC7967F,2019383,불참,2019-03-28
20,A486635H,2019383,기권,2019-03-28
20,9UW75767,2019383,기권,2019-03-28
20,9WQ7845Z,2019383,찬성,2019-03-28
20,XTB3104O,2019383,기권,2019-03-28
20,5HG31863,2019383,찬성,2019-03-28
20,QB390802,2019383,찬성,2019-03-28
20,6RP89579,2019383,찬성,2019-03-28
20,5K343700,2019383,찬성,2019-03-28
20,UDB4825U,2019383,불참,2019-03-28
20,6N28669V,2019383,찬성,2019-03-28
20,GXT11570,2019383,불참,2019-03-28
20,TO79481Z,2019383,찬성,2019-03-28
20,MPV9321A,2019383,불참,2019-03-28
20,Q6G2914I,2019383,기권,2019-03-28
20,LDY9563L,2019383,찬성,2019-03-28
20,R7N74579,2019383,찬성,2019-03-28
20,5DR6334X,2019383,찬성,2019-03-28
20,I5V5327I,2019383,찬성,2019-03-28
20,11N7618M,2019383,기권,2019-03-28
20,O0G3169T,2019383,찬성,2019-03-28
20,DVD2735W,2019383,찬성,2019-03-28
20,A8O42480,2019383,불참,2019-03-28
20,IDV9108J,2019383,불참,2019-03-28
20,JWW6081H,2019383,찬성,2019-03-28
20,D397960C,2019383,불참,2019-03-28
20,BIR8594P,2019383,찬성,2019-03-28
20,X9Y63914,2019383,불참,2019-03-28
20,OQO34632,2019383,찬성,2019-03-28
20,WNN9272X,2019383,불참,2019-03-28
20,U9G5099O,2019383,불참,2019-03-28
20,JMD3241I,2019383,찬성,2019-03-28
20,06X3845L,2019383,불참,2019-03-28
20,MTK2954E,2019383,찬성,2019-03-28
20,ABT2266H,2019383,찬성,2019-03-28
20,OC037566,2019383,기권,2019-03-28
20,LSK9789D,2019383,찬성,2019-03-28
20,6QU2958D,2019383,찬성,2019-03-28
20,GMK1374L,2019383,찬성,2019-03-28
20,16I8621J,2019383,불참,2019-03-28
20,8KB8281W,2019383,찬성,2019-03-28
20,BTP28870,2019383,찬성,2019-03-28
20,GDN7894V,2019383,불참,2019-03-28
20,9FL71418,2019383,불참,2019-03-28
20,SSF6805Q,2019383,불참,2019-03-28
20,WYC63862,2019383,찬성,2019-03-28
20,06571503,2019383,불참,2019-03-28
20,09I2323E,2019383,찬성,2019-03-28
20,A3H7195R,2019383,찬성,2019-03-28
20,ZYH1940A,2019383,찬성,2019-03-28
20,0VU8517U,2019383,불참,2019-03-28
20,M0A1658U,2019383,찬성,2019-03-28
20,NZF1659U,2019383,찬성,2019-03-28
20,ZDR63255,2019383,찬성,2019-03-28
20,KR14136C,2019383,찬성,2019-03-28
20,5765663F,2019383,찬성,2019-03-28
20,GFF1986K,2019383,찬성,2019-03-28
20,60490713,2019383,불참,2019-03-28
20,UM51067K,2019383,찬성,2019-03-28
20,1WE5693J,2019383,찬성,2019-03-28
20,EH27538E,2019383,불참,2019-03-28
20,SU53086M,2019383,기권,2019-03-28
20,V429892C,2019383,찬성,2019-03-28
20,IN328264,2019383,불참,2019-03-28
20,XBT9550Q,2019383,불참,2019-03-28
20,ZA54991S,2019383,불참,2019-03-28
20,MO52543L,2019383,찬성,2019-03-28
20,0827740Q,2019383,찬성,2019-03-28
20,0W194007,2019383,찬성,2019-03-28
20,PAO22428,2019383,찬성,2019-03-28
20,BLC8630L,2019383,불참,2019-03-28
20,NQR1206Q,2019383,불참,2019-03-28
20,PEP6922S,2019383,찬성,2019-03-28
20,DAN6731C,2019383,기권,2019-03-28
20,S9U45255,2019383,찬성,2019-03-28
20,8SV6917G,2019383,불참,2019-03-28
20,GD131760,2019383,찬성,2019-03-28
20,ZRF3039U,2019383,찬성,2019-03-28
20,V0O5343U,2019383,찬성,2019-03-28
20,68P7228G,2019383,불참,2019-03-28
20,FRN1867O,2019383,찬성,2019-03-28
20,N4R2421C,2019383,찬성,2019-03-28
20,GDG1847Z,2019383,반대,2019-03-28
20,O7R5461J,2019383,찬성,2019-03-28
20,JMY9959W,2019383,찬성,2019-03-28
20,J2O8643H,2019383,불참,2019-03-28
20,ARP89147,2019383,불참,2019-03-28
20,6AU2417B,2019383,찬성,2019-03-28
20,1Y73132H,2019383,불참,2019-03-28
20,I0S53762,2019383,찬성,2019-03-28
20,TKJ4800F,2019383,찬성,2019-03-28
20,04T3751T,2019383,찬성,2019-03-28
20,MSY7784L,2019383,찬성,2019-03-28
20,EVH1507C,2019383,찬성,2019-03-28
20,K5F2023J,2019383,찬성,2019-03-28
20,N9X9673B,2019383,찬성,2019-03-28
20,CZB4125D,2019383,불참,2019-03-28
20,S824682L,2019383,찬성,2019-03-28
20,W4X85128,2019383,찬성,2019-03-28
20,Q9H5708M,2019383,불참,2019-03-28
20,MRK4871S,2019383,찬성,2019-03-28
20,BM63269Y,2019383,찬성,2019-03-28
20,3ZR4438W,2019383,찬성,2019-03-28
20,HSS7466Y,2019383,기권,2019-03-28
20,16D7652C,2019383,불참,2019-03-28
20,K3W33496,2019383,찬성,2019-03-28
20,M2Q9024I,2019383,불참,2019-03-28
20,CI15627C,2019383,불참,2019-03-28
20,21N57758,2019383,찬성,2019-03-28
20,4019850M,2019383,찬성,2019-03-28
20,UQ282145,2019383,찬성,2019-03-28
20,9YO73104,2019383,찬성,2019-03-28
20,TRE2429O,2019383,찬성,2019-03-28
20,E6U4345C,2019383,찬성,2019-03-28
20,7BM2933Y,2019383,찬성,2019-03-28
20,CDL93608,2019383,불참,2019-03-28
20,9VR65006,2019383,불참,2019-03-28
20,D0C85236,2019383,기권,2019-03-28
20,XSP20229,2019383,찬성,2019-03-28
20,RQQ3807K,2019383,기권,2019-03-28
20,FYI20317,2019383,찬성,2019-03-28
20,8X15119P,2019383,기권,2019-03-28
20,CNW5754J,2019383,찬성,2019-03-28
20,3249208I,2019383,기권,2019-03-28
20,XEF29171,2019383,찬성,2019-03-28
20,WVU2479T,2019383,찬성,2019-03-28
20,9D939735,2019383,찬성,2019-03-28
20,QTW6852F,2019383,찬성,2019-03-28
20,7XY7109I,2019383,찬성,2019-03-28
20,TST4507I,2019383,찬성,2019-03-28
20,5KV82250,2019383,찬성,2019-03-28
20,6YT83269,2019383,찬성,2019-03-28
20,1MU99298,2019383,찬성,2019-03-28
20,G152611B,2019383,불참,2019-03-28
20,SQ36001H,2019383,기권,2019-03-28
20,9LD2641Q,2019383,찬성,2019-03-28
20,FOK3459D,2019383,기권,2019-03-28
20,QUO78839,2019383,찬성,2019-03-28
20,BT62420K,2019383,불참,2019-03-28
20,LPB30152,2019383,찬성,2019-03-28
20,MD083627,2019383,찬성,2019-03-28
20,TZP9391O,2019383,찬성,2019-03-28
20,6V37131U,2019383,찬성,2019-03-28
20,OSV9142K,2019383,기권,2019-03-28
20,B7R2742J,2019383,찬성,2019-03-28
20,FJK3396E,2019383,찬성,2019-03-28
20,E1J8836Y,2019383,찬성,2019-03-28
20,RD42006Y,2019383,찬성,2019-03-28
20,6EN68926,2019383,불참,2019-03-28
20,XQ98168F,2019383,찬성,2019-03-28
20,TOU1222X,2019383,찬성,2019-03-28
20,VXQ28579,2019383,불참,2019-03-28
20,FGX4881A,2019383,찬성,2019-03-28
20,XT18076X,2019383,찬성,2019-03-28
20,IYD4143Y,2019383,찬성,2019-03-28
20,TWL5801D,2019383,불참,2019-03-28
20,CYD5815E,2019383,불참,2019-03-28
20,P303213F,2019383,불참,2019-03-28
20,FJ03481D,2019383,불참,2019-03-28
20,ZX71333R,2019383,불참,2019-03-28
20,PWU27609,2019383,찬성,2019-03-28
20,IWK63872,2019383,불참,2019-03-28
20,WDR7061Y,2019383,불참,2019-03-28
20,8IN46764,2019383,기권,2019-03-28
20,T2K9554I,2019383,기권,2019-03-28
20,CAL85655,2019383,찬성,2019-03-28
20,9BE5694R,2019383,찬성,2019-03-28
20,UIZ3103R,2019383,불참,2019-03-28
20,2XI97689,2019383,기권,2019-03-28
20,39P2522W,2019383,찬성,2019-03-28
20,S8431719,2019383,불참,2019-03-28
20,DCN7433W,2019383,찬성,2019-03-28
20,3SP89633,2019383,찬성,2019-03-28
20,LCJ77278,2019383,찬성,2019-03-28
20,SVH30067,2019383,찬성,2019-03-28
20,6DG91769,2019383,찬성,2019-03-28
20,9XB6464U,2019383,불참,2019-03-28
20,SLW27496,2019383,찬성,2019-03-28
20,M3Z17237,2019383,불참,2019-03-28
20,QZU9232M,2019383,찬성,2019-03-28
20,V8I36226,2019383,찬성,2019-03-28
20,9ZP9014Q,2019383,찬성,2019-03-28
20,TZD17894,2019383,찬성,2019-03-28
20,VE469451,2019383,찬성,2019-03-28
20,W168182V,2019383,찬성,2019-03-28
20,MBS2896E,2019383,기권,2019-03-28
20,BN49469V,2019383,찬성,2019-03-28
20,NNP30098,2019383,기권,2019-03-28
20,BWD92364,2019383,찬성,2019-03-28
20,YBM9779M,2019383,찬성,2019-03-28
20,1KD95875,2019383,기권,2019-03-28
20,0582116P,2019383,불참,2019-03-28
20,SNJ6318D,2019383,반대,2019-03-28
20,4Y54669I,2019383,찬성,2019-03-28
20,CXA6162I,2019383,불참,2019-03-28
20,PAB29217,2019383,찬성,2019-03-28
20,1PZ8289D,2019383,기권,2019-03-28
20,BQS2021C,2019383,불참,2019-03-28
20,AMF4093D,2019383,불참,2019-03-28
20,AJV31724,2019383,찬성,2019-03-28
20,I7Z3068X,2019383,불참,2019-03-28
20,8I61593E,2019383,찬성,2019-03-28
20,R365233W,2019383,반대,2019-03-28
20,SY09851R,2019383,찬성,2019-03-28
20,9S468336,2019383,불참,2019-03-28
20,IUE5875N,2019383,기권,2019-03-28
20,I0F2578R,2019383,불참,2019-03-28
20,Y3E8697I,2019383,찬성,2019-03-28
20,RH454994,2019383,기권,2019-03-28
20,QZR19240,2019383,찬성,2019-03-28
20,DKB8522X,2019383,찬성,2019-03-28
20,Q6A9034Q,2019383,찬성,2019-03-28
20,ZJI5740K,2019383,찬성,2019-03-28
20,0GF6251P,2019383,찬성,2019-03-28
20,WV97281W,2019383,찬성,2019-03-28
20,7KD2317D,2019383,찬성,2019-03-28
20,IH436704,2019383,찬성,2019-03-28
20,7W35098M,2019383,찬성,2019-03-28
20,NTT8182Q,2019383,찬성,2019-03-28
20,HSW1214Q,2019383,찬성,2019-03-28
20,WDS6044S,2019383,찬성,2019-03-28
20,ZKU88693,2019383,찬성,2019-03-28
20,8FB1535Y,2019383,찬성,2019-03-28
20,OW53107J,2019383,찬성,2019-03-28
20,XPP2564T,2019383,찬성,2019-03-28
20,TVF3669B,2019383,불참,2019-03-28
20,7R156073,2019383,찬성,2019-03-28
20,LH97552Q,2019383,찬성,2019-03-28
20,O6D8329R,2019383,찬성,2019-03-28
20,UGH6481E,2019383,찬성,2019-03-28
20,YKW37422,2019383,찬성,2019-03-28
20,DBA1057Z,2019383,찬성,2019-03-28
20,C7E79345,2019383,찬성,2019-03-28
20,ZYP7962W,2019383,불참,2019-03-28
20,GX38539O,2019383,찬성,2019-03-28
20,8Q88373R,2019383,찬성,2019-03-28
20,I7R13867,2019383,불참,2019-03-28
20,G1570880,2019383,찬성,2019-03-28
20,MHK9919B,2019383,찬성,2019-03-28
20,DCR84445,2019383,찬성,2019-03-28
20,GCA42857,2019383,찬성,2019-03-28
20,VHK3402G,2019383,찬성,2019-03-28
20,64G6894C,2019383,불참,2019-03-28
20,8BF5855P,2019383,불참,2019-03-28
20,URV1689Q,2019383,찬성,2019-03-28
20,TZP9391O,2007220,불참,2017-07-22
20,6V37131U,2007220,찬성,2017-07-22
20,FGX4881A,2007220,불참,2017-07-22
20,XT18076X,2007220,찬성,2017-07-22
20,IYD4143Y,2007220,찬성,2017-07-22
20,GCA42857,2007220,불참,2017-07-22
20,PWU27609,2007220,찬성,2017-07-22
20,8IN46764,2007220,불참,2017-07-22
20,T2K9554I,2007220,불참,2017-07-22
20,CAL85655,2007220,불참,2017-07-22
20,DCN7433W,2007220,찬성,2017-07-22
20,0135473I,2007220,반대,2017-07-22
20,GN240959,2007220,찬성,2017-07-22
20,VHK3402G,2007220,반대,2017-07-22
20,M3Z17237,2007220,불참,2017-07-22
20,QZU9232M,2007220,불참,2017-07-22
20,V8I36226,2007220,찬성,2017-07-22
20,TIS61927,2007220,찬성,2017-07-22
20,BN49469V,2007220,찬성,2017-07-22
20,NNP30098,2007220,불참,2017-07-22
20,8BF5855P,2007220,찬성,2017-07-22
20,BWD92364,2007220,불참,2017-07-22
20,YBM9779M,2007220,불참,2017-07-22
20,CXA6162I,2007220,찬성,2017-07-22
20,IQ54138I,2007220,찬성,2017-07-22
20,PAB29217,2007220,불참,2017-07-22
20,YVN3115U,2007220,찬성,2017-07-22
20,URV1689Q,2007220,찬성,2017-07-22
20,AFQ26679,2007220,기권,2017-07-22
20,25G2571T,2007220,불참,2017-07-22
20,O8E1566L,2007220,찬성,2017-07-22
20,KA04352K,2007220,불참,2017-07-22
20,MGE7194M,2007220,반대,2017-07-22
20,QKY38290,2007220,불참,2017-07-22
20,MC32279F,2007220,찬성,2017-07-22
20,0ID22746,2007220,불참,2017-07-22
20,9CR4440H,2007220,불참,2017-07-22
20,9S468336,2007220,찬성,2017-07-22
20,EX94352K,2007220,찬성,2017-07-22
20,8X46899U,2007220,찬성,2017-07-22
20,8EL9225R,2007220,불참,2017-07-22
20,DKB8522X,2007220,찬성,2017-07-22
20,Q6A9034Q,2007220,불참,2017-07-22
20,6RP89579,2007220,찬성,2017-07-22
20,5K343700,2007220,찬성,2017-07-22
20,11N7618M,2007220,불참,2017-07-22
20,DVD2735W,2007220,불참,2017-07-22
20,7BV5480O,2007220,불참,2017-07-22
20,IDV9108J,2007220,불참,2017-07-22
20,WNN9272X,2007220,불참,2017-07-22
20,7KD2317D,2007220,불참,2017-07-22
20,ABT2266H,2007220,불참,2017-07-22
20,BTP28870,2007220,찬성,2017-07-22
20,SSF6805Q,2007220,반대,2017-07-22
20,06571503,2007220,반대,2017-07-22
20,60490713,2007220,찬성,2017-07-22
20,1WE5693J,2007220,찬성,2017-07-22
20,EH27538E,2007220,불참,2017-07-22
20,0827740Q,2007220,찬성,2017-07-22
20,0W194007,2007220,찬성,2017-07-22
20,PAO22428,2007220,불참,2017-07-22
20,BLC8630L,2007220,불참,2017-07-22
20,DAN6731C,2007220,불참,2017-07-22
20,68P7228G,2007220,찬성,2017-07-22
20,XPP2564T,2007220,찬성,2017-07-22
20,O7R5461J,2007220,찬성,2017-07-22
20,TVF3669B,2007220,불참,2017-07-22
20,I0S53762,2007220,불참,2017-07-22
20,TKJ4800F,2007220,찬성,2017-07-22
20,04T3751T,2007220,찬성,2017-07-22
20,K5F2023J,2007220,찬성,2017-07-22
20,CZB4125D,2007220,찬성,2017-07-22
20,Q9H5708M,2007220,찬성,2017-07-22
20,MRK4871S,2007220,불참,2017-07-22
20,YKW37422,2007220,불참,2017-07-22
20,K3W33496,2007220,찬성,2017-07-22
20,4019850M,2007220,찬성,2017-07-22
20,UQ282145,2007220,찬성,2017-07-22
20,7BM2933Y,2007220,불참,2017-07-22
20,CDL93608,2007220,찬성,2017-07-22
20,8X15119P,2007220,불참,2017-07-22
20,8Q88373R,2007220,찬성,2017-07-22
20,7XY7109I,2007220,기권,2017-07-22
20,TST4507I,2007220,불참,2017-07-22
20,6YT83269,2007220,불참,2017-07-22
20,G152611B,2007220,불참,2017-07-22
20,I7R13867,2007220,찬성,2017-07-22
20,LPB30152,2007220,찬성,2017-07-22
20,JG77046J,2007220,찬성,2017-07-22
20,8WV8289I,2007220,불참,2017-07-22
20,2SE64657,2007220,불참,2017-07-22
20,B6F5266B,2007220,반대,2017-07-22
20,F5U2979W,2007220,불참,2017-07-22
20,IQN7588X,2007220,반대,2017-07-22
20,24E9427D,2007220,찬성,2017-07-22
20,BQS2021C,2007220,불참,2017-07-22
20,2WQ6656P,2007220,찬성,2017-07-22
20,7AN97172,2007220,반대,2017-07-22
20,HTK5293K,2007220,불참,2017-07-22
20,71M8132V,2007220,불참,2017-07-22
20,GW55008L,2007220,불참,2017-07-22
20,5CO4531H,2007220,찬성,2017-07-22
20,YLM92014,2007220,기권,2017-07-22
20,AMF4093D,2007220,불참,2017-07-22
20,8DK7238W,2007220,찬성,2017-07-22
20,DTG4846A,2007220,반대,2017-07-22
20,CJX51868,2007220,불참,2017-07-22
20,V2R7430Z,2007220,찬성,2017-07-22
20,I7Z3068X,2007220,불참,2017-07-22
20,VNF2868Z,2007220,불참,2017-07-22
20,A935446Z,2007220,찬성,2017-07-22
20,HE838063,2007220,불참,2017-07-22
20,8I61593E,2007220,불참,2017-07-22
20,JOY4394O,2007220,찬성,2017-07-22
20,ZGA4092Y,2007220,불참,2017-07-22
20,R365233W,2007220,찬성,2017-07-22
20,H337332S,2007220,불참,2017-07-22
20,0AI7568W,2007220,찬성,2017-07-22
20,3NM5411H,2007220,찬성,2017-07-22
20,I0F2578R,2007220,찬성,2017-07-22
20,Y3E8697I,2007220,반대,2017-07-22
20,RH454994,2007220,찬성,2017-07-22
20,8WC7967F,2007220,반대,2017-07-22
20,A486635H,2007220,반대,2017-07-22
20,9WQ7845Z,2007220,불참,2017-07-22
20,PP08673W,2007220,찬성,2017-07-22
20,5HG31863,2007220,불참,2017-07-22
20,UDB4825U,2007220,찬성,2017-07-22
20,6N28669V,2007220,불참,2017-07-22
20,ZJI5740K,2007220,찬성,2017-07-22
20,GXT11570,2007220,찬성,2017-07-22
20,MPV9321A,2007220,찬성,2017-07-22
20,LDY9563L,2007220,불참,2017-07-22
20,3TP65086,2007220,찬성,2017-07-22
20,R7N74579,2007220,찬성,2017-07-22
20,U013741R,2007220,불참,2017-07-22
20,WV97281W,2007220,불참,2017-07-22
20,O0G3169T,2007220,불참,2017-07-22
20,JWW6081H,2007220,찬성,2017-07-22
20,D397960C,2007220,반대,2017-07-22
20,OQO34632,2007220,찬성,2017-07-22
20,JMD3241I,2007220,찬성,2017-07-22
20,06X3845L,2007220,불참,2017-07-22
20,MTK2954E,2007220,찬성,2017-07-22
20,OC037566,2007220,기권,2017-07-22
20,6QU2958D,2007220,찬성,2017-07-22
20,16I8621J,2007220,찬성,2017-07-22
20,IH436704,2007220,불참,2017-07-22
20,8KB8281W,2007220,찬성,2017-07-22
20,GDN7894V,2007220,찬성,2017-07-22
20,WYC63862,2007220,불참,2017-07-22
