age,member_id,bill_number,result,date
20,6AU2417B,2024717,찬성,2020-03-06
20,I0S53762,2024717,불참,2020-03-06
20,LH97552Q,2024717,불참,2020-03-06
20,TKJ4800F,2024717,불참,2020-03-06
20,O6D8329R,2024717,찬성,2020-03-06
20,S824682L,2024717,찬성,2020-03-06
20,W4X85128,2024717,찬성,2020-03-06
20,YKW37422,2024717,찬성,2020-03-06
20,BM63269Y,2024717,불참,2020-03-06
20,CI15627C,2024717,찬성,2020-03-06
20,C7E79345,2024717,찬성,2020-03-06
20,4019850M,2024717,찬성,2020-03-06
20,UQ282145,2024717,불참,2020-03-06
20,TRE2429O,2024717,찬성,2020-03-06
20,7BM2933Y,2024717,찬성,2020-03-06
20,ZYP7962W,2024717,불참,2020-03-06
20,8Q88373R,2024717,찬성,2020-03-06
20,7XY7109I,2024717,찬성,2020-03-06
20,TST4507I,2024717,찬성,2020-03-06
20,I7R13867,2024717,찬성,2020-03-06
20,G1570880,2024717,찬성,2020-03-06
20,9LD2641Q,2024717,찬성,2020-03-06
20,FOK3459D,2024717,찬성,2020-03-06
20,QUO78839,2024717,찬성,2020-03-06
20,BT62420K,2024717,찬성,2020-03-06
20,LPB30152,2024717,찬성,2020-03-06
20,TZP9391O,2024717,찬성,2020-03-06
20,6V37131U,2024717,찬성,2020-03-06
20,OSV9142K,2024717,불참,2020-03-06
20,MHK9919B,2024717,찬성,2020-03-06
20,RD42006Y,2024717,불참,2020-03-06
20,6EN68926,2024717,찬성,2020-03-06
20,XQ98168F,2024717,찬성,2020-03-06
20,DCR84445,2024717,불참,2020-03-06
20,XT18076X,2024717,불참,2020-03-06
20,TWL5801D,2024717,불참,2020-03-06
20,ZX71333R,2024717,불참,2020-03-06
20,WDR7061Y,2024717,찬성,2020-03-06
20,8IN46764,2024717,찬성,2020-03-06
20,CAL85655,2024717,불참,2020-03-06
20,39P2522W,2024717,불참,2020-03-06
20,6DG91769,2024717,찬성,2020-03-06
20,VHK3402G,2024717,불참,2020-03-06
20,M3Z17237,2024717,불참,2020-03-06
20,QZU9232M,2024717,찬성,2020-03-06
