age,member_id,bill_number,result,date
20,23D73143,2003642,찬성,2016-11-17
20,8DK7238W,2003642,찬성,2016-11-17
20,DTG4846A,2003642,불참,2016-11-17
20,AJV31724,2003642,찬성,2016-11-17
20,KA04352K,2003642,불참,2016-11-17
20,I7Z3068X,2003642,불참,2016-11-17
20,A935446Z,2003642,기권,2016-11-17
20,06L2365K,2003642,찬성,2016-11-17
20,JOY4394O,2003642,불참,2016-11-17
20,OTE19384,2003642,찬성,2016-11-17
20,ZGA4092Y,2003642,찬성,2016-11-17
20,9S468336,2003642,불참,2016-11-17
20,H337332S,2003642,찬성,2016-11-17
20,YOG1280B,2003642,찬성,2016-11-17
20,EX94352K,2003642,찬성,2016-11-17
20,0AI7568W,2003642,찬성,2016-11-17
20,3NM5411H,2003642,찬성,2016-11-17
20,I0F2578R,2003642,기권,2016-11-17
20,ZL32287Z,2003642,찬성,2016-11-17
20,8WC7967F,2003642,찬성,2016-11-17
20,8EL9225R,2003642,찬성,2016-11-17
20,9UW75767,2003642,찬성,2016-11-17
20,QZR19240,2003642,찬성,2016-11-17
20,9WQ7845Z,2003642,불참,2016-11-17
20,PP08673W,2003642,찬성,2016-11-17
20,DKB8522X,2003642,찬성,2016-11-17
20,8T51904N,2003642,찬성,2016-11-17
20,6N28669V,2003642,불참,2016-11-17
20,ZJI5740K,2003642,찬성,2016-11-17
20,Q6G2914I,2003642,불참,2016-11-17
20,U013741R,2003642,찬성,2016-11-17
20,WV97281W,2003642,찬성,2016-11-17
20,A8O42480,2003642,불참,2016-11-17
20,IDV9108J,2003642,찬성,2016-11-17
20,JWW6081H,2003642,찬성,2016-11-17
20,D397960C,2003642,찬성,2016-11-17
20,X9Y63914,2003642,불참,2016-11-17
20,OQO34632,2003642,찬성,2016-11-17
20,WNN9272X,2003642,불참,2016-11-17
20,7KD2317D,2003642,찬성,2016-11-17
20,JMD3241I,2003642,찬성,2016-11-17
20,ABT2266H,2003642,불참,2016-11-17
20,OC037566,2003642,찬성,2016-11-17
20,16I8621J,2003642,찬성,2016-11-17
20,8KB8281W,2003642,불참,2016-11-17
20,M6K7940A,2003642,찬성,2016-11-17
20,GDN7894V,2003642,찬성,2016-11-17
20,SSF6805Q,2003642,찬성,2016-11-17
20,09I2323E,2003642,찬성,2016-11-17
20,NTT8182Q,2003642,찬성,2016-11-17
20,A3H7195R,2003642,찬성,2016-11-17
20,0VU8517U,2003642,찬성,2016-11-17
20,HSW1214Q,2003642,찬성,2016-11-17
20,NZF1659U,2003642,불참,2016-11-17
20,KR14136C,2003642,찬성,2016-11-17
20,5765663F,2003642,찬성,2016-11-17
20,GFF1986K,2003642,찬성,2016-11-17
20,ZKU88693,2003642,찬성,2016-11-17
20,UM51067K,2003642,찬성,2016-11-17
20,V429892C,2003642,찬성,2016-11-17
20,XBT9550Q,2003642,불참,2016-11-17
20,PAO22428,2003642,찬성,2016-11-17
20,NQR1206Q,2003642,찬성,2016-11-17
20,OW53107J,2003642,불참,2016-11-17
20,PEP6922S,2003642,찬성,2016-11-17
20,S9U45255,2003642,찬성,2016-11-17
