age,member_id,bill_number,result,date
21,N4R2421C,2108896,불참,2021-03-24
21,GDG1847Z,2108896,기권,2021-03-24
21,LNR7932L,2108896,불참,2021-03-24
21,O7R5461J,2108896,불참,2021-03-24
21,TVF3669B,2108896,찬성,2021-03-24
21,6AR6743G,2108896,불참,2021-03-24
21,VCP96419,2108896,찬성,2021-03-24
21,8VJ8533R,2108896,찬성,2021-03-24
21,GX22581L,2108896,불참,2021-03-24
21,SE233396,2108896,찬성,2021-03-24
21,52P3934K,2108896,찬성,2021-03-24
21,B7H6207C,2108896,찬성,2021-03-24
21,6399076T,2108896,찬성,2021-03-24
21,4U29186R,2108896,기권,2021-03-24
21,F5Y4026Q,2108896,찬성,2021-03-24
21,1Y73132H,2108896,불참,2021-03-24
21,O6D8329R,2108896,찬성,2021-03-24
21,MSY7784L,2108896,불참,2021-03-24
21,TP066860,2108896,불참,2021-03-24
21,5K93695T,2108896,불참,2021-03-24
21,KFS1358P,2108896,찬성,2021-03-24
21,A494529E,2108896,찬성,2021-03-24
21,VRY5522V,2108896,찬성,2021-03-24
21,0PK7354M,2108896,찬성,2021-03-24
21,CZB4125D,2108896,불참,2021-03-24
21,Z6R3959C,2108896,찬성,2021-03-24
21,UGH6481E,2108896,불참,2021-03-24
21,S824682L,2108896,불참,2021-03-24
21,Q9H5708M,2108896,찬성,2021-03-24
21,CFE3998F,2108896,찬성,2021-03-24
21,MRK4871S,2108896,불참,2021-03-24
21,YKW37422,2108896,불참,2021-03-24
21,2NV6751W,2108896,찬성,2021-03-24
21,BM63269Y,2108896,불참,2021-03-24
21,3ZR4438W,2108896,불참,2021-03-24
21,HSS7466Y,2108896,찬성,2021-03-24
21,8VY63414,2108896,찬성,2021-03-24
21,XR24352K,2108896,찬성,2021-03-24
21,QQP4727N,2108896,불참,2021-03-24
21,IUL4848V,2108896,찬성,2021-03-24
21,BCQ55105,2108896,찬성,2021-03-24
21,GOC54665,2108896,찬성,2021-03-24
21,LJK4960Z,2108896,찬성,2021-03-24
21,K3W33496,2108896,찬성,2021-03-24
