age,member_id,bill_number,result,date
20,JG77046J,2003755,찬성,2017-11-24
20,PAB29217,2003755,찬성,2017-11-24
20,2SE64657,2003755,불참,2017-11-24
20,URV1689Q,2003755,불참,2017-11-24
20,F5U2979W,2003755,찬성,2017-11-24
20,C7Z8238W,2003755,찬성,2017-11-24
20,IQN7588X,2003755,찬성,2017-11-24
20,0E97245Y,2003755,찬성,2017-11-24
20,2WQ6656P,2003755,불참,2017-11-24
20,AFQ26679,2003755,불참,2017-11-24
20,25G2571T,2003755,불참,2017-11-24
20,O8E1566L,2003755,찬성,2017-11-24
20,HTK5293K,2003755,불참,2017-11-24
20,71M8132V,2003755,찬성,2017-11-24
20,GW55008L,2003755,찬성,2017-11-24
20,RCF90176,2003755,찬성,2017-11-24
20,DTG4846A,2003755,찬성,2017-11-24
20,AJV31724,2003755,불참,2017-11-24
20,V2R7430Z,2003755,찬성,2017-11-24
20,PLR62452,2003755,찬성,2017-11-24
20,MGE7194M,2003755,찬성,2017-11-24
20,QKY38290,2003755,불참,2017-11-24
20,I7Z3068X,2003755,불참,2017-11-24
20,8I61593E,2003755,찬성,2017-11-24
20,0ID22746,2003755,불참,2017-11-24
20,JOY4394O,2003755,불참,2017-11-24
20,9CR4440H,2003755,불참,2017-11-24
20,9S468336,2003755,찬성,2017-11-24
20,H337332S,2003755,찬성,2017-11-24
20,3NM5411H,2003755,찬성,2017-11-24
20,8X46899U,2003755,반대,2017-11-24
20,Y3E8697I,2003755,찬성,2017-11-24
20,ZL32287Z,2003755,찬성,2017-11-24
20,8WC7967F,2003755,찬성,2017-11-24
20,A486635H,2003755,찬성,2017-11-24
20,DKB8522X,2003755,찬성,2017-11-24
20,Q6A9034Q,2003755,찬성,2017-11-24
20,6RP89579,2003755,찬성,2017-11-24
20,5K343700,2003755,불참,2017-11-24
20,UDB4825U,2003755,찬성,2017-11-24
20,6N28669V,2003755,찬성,2017-11-24
20,MPV9321A,2003755,찬성,2017-11-24
20,U013741R,2003755,찬성,2017-11-24
20,11N7618M,2003755,찬성,2017-11-24
20,O0G3169T,2003755,찬성,2017-11-24
20,DVD2735W,2003755,찬성,2017-11-24
20,IDV9108J,2003755,찬성,2017-11-24
20,JWW6081H,2003755,찬성,2017-11-24
20,WNN9272X,2003755,찬성,2017-11-24
20,7KD2317D,2003755,찬성,2017-11-24
20,U9G5099O,2003755,찬성,2017-11-24
20,MTK2954E,2003755,찬성,2017-11-24
20,ABT2266H,2003755,찬성,2017-11-24
20,OC037566,2003755,불참,2017-11-24
20,6QU2958D,2003755,찬성,2017-11-24
20,GMK1374L,2003755,찬성,2017-11-24
