age,member_id,bill_number,result,date
21,WFU14784,2100043,불참,2021-08-31
21,GF286398,2100043,불참,2021-08-31
21,JQA21112,2100043,기권,2021-08-31
21,4L695580,2100043,찬성,2021-08-31
21,40E3739H,2100043,찬성,2021-08-31
21,RPN2293B,2100043,찬성,2021-08-31
21,V429892C,2100043,찬성,2021-08-31
21,XBT9550Q,2100043,불참,2021-08-31
21,ZA54991S,2100043,불참,2021-08-31
21,MO52543L,2100043,불참,2021-08-31
21,0827740Q,2100043,찬성,2021-08-31
21,L5P27909,2100043,불참,2021-08-31
21,IOW1101J,2100043,기권,2021-08-31
21,ICH23251,2100043,불참,2021-08-31
21,25I8709Q,2100043,찬성,2021-08-31
21,6MO8786S,2100043,불참,2021-08-31
21,XWX1513T,2100043,불참,2021-08-31
21,CT85313K,2100043,불참,2021-08-31
21,PAO22428,2100043,찬성,2021-08-31
21,BLC8630L,2100043,불참,2021-08-31
21,NQR1206Q,2100043,불참,2021-08-31
21,WCD5518S,2100043,찬성,2021-08-31
21,SVH3899R,2100043,찬성,2021-08-31
21,SBK1544B,2100043,찬성,2021-08-31
21,D6U6678O,2100043,찬성,2021-08-31
21,8FC9697X,2100043,불참,2021-08-31
21,QKO6165V,2100043,불참,2021-08-31
21,ZRF3039U,2100043,찬성,2021-08-31
21,V0O5343U,2100043,불참,2021-08-31
21,FRN1867O,2100043,불참,2021-08-31
21,LQW3652K,2100043,기권,2021-08-31
21,GAV6441G,2100043,찬성,2021-08-31
21,7JC3239L,2100043,기권,2021-08-31
21,8P37634C,2100043,불참,2021-08-31
21,CNZ51556,2100043,불참,2021-08-31
21,GDG1847Z,2100043,불참,2021-08-31
21,O7R5461J,2100043,불참,2021-08-31
21,TVF3669B,2100043,기권,2021-08-31
21,JMY9959W,2100043,찬성,2021-08-31
21,6AR6743G,2100043,불참,2021-08-31
21,VCP96419,2100043,찬성,2021-08-31
21,8VJ8533R,2100043,불참,2021-08-31
21,SE233396,2100043,찬성,2021-08-31
21,52P3934K,2100043,불참,2021-08-31
