age,member_id,bill_number,result,date
21,KNM3215T,2121428,찬성,2024-01-09
21,M7T9712V,2121428,찬성,2024-01-09
21,60490713,2121428,찬성,2024-01-09
21,UM51067K,2121428,찬성,2024-01-09
21,HKJ99607,2121428,찬성,2024-01-09
21,MY318392,2121428,찬성,2024-01-09
21,4T026790,2121428,찬성,2024-01-09
21,EH27538E,2121428,찬성,2024-01-09
21,WFU14784,2121428,찬성,2024-01-09
21,SU53086M,2121428,찬성,2024-01-09
21,0WL9321T,2121428,찬성,2024-01-09
21,PZA4062H,2121428,찬성,2024-01-09
21,MR210505,2121428,찬성,2024-01-09
21,GF286398,2121428,찬성,2024-01-09
21,8348421R,2121428,찬성,2024-01-09
21,H5476989,2121428,찬성,2024-01-09
21,JQA21112,2121428,찬성,2024-01-09
21,4L695580,2121428,불참,2024-01-09
21,6FS10566,2121428,찬성,2024-01-09
21,HXT76735,2121428,찬성,2024-01-09
21,RPN2293B,2121428,찬성,2024-01-09
21,0R68099X,2121428,찬성,2024-01-09
21,6RM29022,2121428,찬성,2024-01-09
21,MQU41854,2121428,불참,2024-01-09
21,V429892C,2121428,찬성,2024-01-09
21,2385336L,2121428,찬성,2024-01-09
21,IN328264,2121428,불참,2024-01-09
21,XBT9550Q,2121428,찬성,2024-01-09
21,ZA54991S,2121428,찬성,2024-01-09
21,MO52543L,2121428,찬성,2024-01-09
21,0827740Q,2121428,불참,2024-01-09
21,0W194007,2121428,찬성,2024-01-09
21,X1K3667J,2121428,찬성,2024-01-09
21,WMG57662,2121428,찬성,2024-01-09
21,NCP9875N,2121428,찬성,2024-01-09
21,I5I2468R,2121428,찬성,2024-01-09
21,WTR5885Y,2121428,찬성,2024-01-09
21,3425169D,2121428,찬성,2024-01-09
21,IOW1101J,2121428,찬성,2024-01-09
21,25I8709Q,2121428,찬성,2024-01-09
21,OIA3741M,2121428,찬성,2024-01-09
21,6MO8786S,2121428,찬성,2024-01-09
21,XWX1513T,2121428,찬성,2024-01-09
21,CT85313K,2121428,찬성,2024-01-09
21,BLC8630L,2121428,찬성,2024-01-09
21,NQR1206Q,2121428,찬성,2024-01-09
21,LG63087O,2121428,찬성,2024-01-09
21,OW53107J,2121428,찬성,2024-01-09
21,PEP6922S,2121428,찬성,2024-01-09
21,DAN6731C,2121428,찬성,2024-01-09
21,VG24001G,2121428,찬성,2024-01-09
21,L2I9861C,2121428,찬성,2024-01-09
21,WCD5518S,2121428,찬성,2024-01-09
21,SVH3899R,2121428,찬성,2024-01-09
21,IOW8224X,2121428,찬성,2024-01-09
21,9JF4562W,2121428,찬성,2024-01-09
21,Y7K5946R,2121428,찬성,2024-01-09
21,Z7Y7827F,2121428,찬성,2024-01-09
21,ATB59635,2121428,찬성,2024-01-09
21,D6U6678O,2121428,찬성,2024-01-09
21,FU87526G,2121428,찬성,2024-01-09
21,S9U45255,2121428,찬성,2024-01-09
21,8SV6917G,2121428,찬성,2024-01-09
21,QKO6165V,2121428,불참,2024-01-09
21,GD131760,2121428,찬성,2024-01-09
21,V0O5343U,2121428,찬성,2024-01-09
21,68P7228G,2121428,찬성,2024-01-09
21,P0F1530P,2121428,불참,2024-01-09
21,XPP2564T,2121428,찬성,2024-01-09
21,FRN1867O,2121428,찬성,2024-01-09
21,LQW3652K,2121428,불참,2024-01-09
21,RO593601,2121428,찬성,2024-01-09
21,PFG2137X,2121428,찬성,2024-01-09
21,UB114374,2121428,찬성,2024-01-09
21,GAV6441G,2121428,찬성,2024-01-09
21,0YT3774N,2121428,찬성,2024-01-09
21,7JC3239L,2121428,찬성,2024-01-09
21,40S1959J,2121428,찬성,2024-01-09
21,IL74008M,2121428,찬성,2024-01-09
21,8P37634C,2121428,불참,2024-01-09
21,CNZ51556,2121428,찬성,2024-01-09
21,N4R2421C,2121428,찬성,2024-01-09
21,3C23171A,2121428,찬성,2024-01-09
21,GDG1847Z,2121428,찬성,2024-01-09
21,P2N4585G,2121428,불참,2024-01-09
21,JMY9959W,2121428,불참,2024-01-09
21,7R156073,2121428,불참,2024-01-09
21,6AR6743G,2121428,불참,2024-01-09
21,J2O8643H,2121428,찬성,2024-01-09
21,VCP96419,2121428,찬성,2024-01-09
21,6AU2417B,2121428,불참,2024-01-09
21,8VJ8533R,2121428,찬성,2024-01-09
