age,member_id,bill_number,result,date
21,GE71932C,2105507,반대,2020-11-19
21,1MU99298,2105507,찬성,2020-11-19
21,G152611B,2105507,찬성,2020-11-19
21,I7R13867,2105507,찬성,2020-11-19
21,G1570880,2105507,찬성,2020-11-19
21,9LD2641Q,2105507,찬성,2020-11-19
21,QUO78839,2105507,찬성,2020-11-19
21,BT62420K,2105507,찬성,2020-11-19
21,LPB30152,2105507,찬성,2020-11-19
21,MD083627,2105507,찬성,2020-11-19
21,TZP9391O,2105507,찬성,2020-11-19
21,6V37131U,2105507,찬성,2020-11-19
21,OSV9142K,2105507,찬성,2020-11-19
21,B7R2742J,2105507,찬성,2020-11-19
21,FJK3396E,2105507,찬성,2020-11-19
21,ZDP5704Q,2105507,찬성,2020-11-19
21,7O71647Z,2105507,찬성,2020-11-19
21,W1Q6753M,2105507,찬성,2020-11-19
21,MHK9919B,2105507,기권,2020-11-19
21,E1J8836Y,2105507,찬성,2020-11-19
21,RD42006Y,2105507,찬성,2020-11-19
21,QHL3248U,2105507,찬성,2020-11-19
21,AE685067,2105507,찬성,2020-11-19
21,9S151177,2105507,찬성,2020-11-19
21,TZ228122,2105507,찬성,2020-11-19
21,9V18755A,2105507,찬성,2020-11-19
21,PO64874I,2105507,찬성,2020-11-19
21,USR7059P,2105507,찬성,2020-11-19
21,ZKU88693,2105507,찬성,2020-11-19
21,RO593601,2105507,찬성,2020-11-19
21,14M56632,2105507,기권,2020-11-19
21,J9S37905,2105507,불참,2020-11-19
21,XA42275R,2105507,찬성,2020-11-19
21,D0C85236,2105507,찬성,2020-11-19
21,XEF29171,2105507,찬성,2020-11-19
21,17M85910,2105507,찬성,2020-11-19
21,TJW93720,2105507,찬성,2020-11-19
21,O0I2045I,2105507,찬성,2020-11-19
21,8KF7223D,2123980,불참,2023-08-24
21,CNZ51556,2123980,찬성,2023-08-24
21,N4R2421C,2123980,불참,2023-08-24
21,3C23171A,2123980,찬성,2023-08-24
21,GDG1847Z,2123980,찬성,2023-08-24
21,P2N4585G,2123980,찬성,2023-08-24
